"","year","wgr","masters_finish","total_score","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","sg_total","points_gained","m_cut","top_25","new_score","m_play"
"141",2008,233,99,151,120,2,1,70.957,102,17.81,72.56,281.8,4.78,66.61,4307.333,29.53,58.91,-0.194,0.138,-0.056,7.056,"0","0",311,"0"
"142",2011,75,99,153,33,5,0,70.744,92,20.15,67.32,293.5,4.7,68.6,4479.083,29.58,55,-0.077,0.497,0.419,9.098,"0","0",313,"1"
"143",2017,47,53,298,23,4,0,70.244,98,20.63,70.53,284.8,4.7,66.91,4193.583,28.64,63.28,0.391,0.371,0.762,66.233,"1","0",298,"1"
"144",2005,10,99,150,60,6,0,70.405,83,19.9,61.55,281,4.67,64.15,3097.167,28.57,61.16,0.225,0.591,0.815,62.25,"0","0",310,"0"
"145",2006,27,99,153,101,2,0,70.787,83,22.17,64.34,279.3,4.68,66.45,2949.417,29.22,59.02,0.033,0.072,0.057,31.11,"0","0",313,"1"
"146",2013,52,20,290,16,3,0,70.206,89,26.67,59.65,289,4.69,65.92,3673,28.26,65.38,0.456,0.506,0.962,38.536,"1","1",290,"0"
"147",2014,23,33,288,27,5,2,70.15,105,19.93,62.78,291,4.61,63.46,4418.25,28.44,63.3,0.374,0.489,0.862,17.761,"1","0",288,"1"
"148",2015,53,99,153,59,3,1,70.959,76,21.29,61.97,285.8,4.64,64.54,2593.917,28.6,60.3,0.065,0.35,0.414,27.034,"0","0",313,"1"
"149",2010,87,99,148,137,3,0,70.958,90,17.81,64.52,283,4.69,67.9,4059,29.74,58.65,-0.1,0.302,0.199,60.8,"0","0",308,"0"
"150",2012,70,38,292,104,3,0,70.946,88,20.7,64.66,284,4.68,66.48,4220.583,29.48,56.5,-0.109,0.394,0.284,56,"1","0",292,"1"
"151",2013,87,99,150,135,3,1,71.116,87,24.26,63.48,281.1,4.68,62.77,3332,29.08,55.92,-0.161,0.16,0,2.16,"0","0",310,"1"
"152",2007,117,99,153,124,3,0,71.083,99,17.07,65.36,295.1,4.68,66.95,5007.917,29.88,58.74,-0.559,0.53,-0.029,42.462,"0","0",313,"0"
"153",2008,67,44,293,48,4,1,70.329,94,23.55,65.31,291.3,4.69,66.25,4145.333,29.52,55.69,-0.411,0.934,0.523,30.561,"1","0",293,"1"
"154",2015,59,10,289,25,6,0,70.581,97,25.88,60.74,302.1,4.58,68.84,4159.833,29.23,60.66,-0.193,0.682,0.489,10.135,"1","1",289,"0"
"155",2016,34,27,291,49,6,1,70.339,92,25.32,56.68,298.4,4.64,67.67,3613,29.08,56.95,0.175,0.718,0.893,36.232,"1","0",291,"1"
"156",2017,37,32,289,33,6,1,70.121,91,27.27,60.02,296.5,4.61,66.93,3365,28.73,62.8,0.202,0.83,1.032,29.568,"1","0",289,"1"
"157",2007,66,99,150,48,3,1,70.948,106,20.21,55.34,297.6,4.68,65.2,4796.833,28.74,60.39,0.222,0.18,0.402,58.531,"0","0",310,"0"
"158",2016,88,46,297,69,2,0,70.771,99,21.09,58.65,288,4.62,63.02,4976.417,28.54,57.21,0.592,-0.356,0.236,8.291,"1","0",297,"0"
"159",2015,38,17,292,20,8,1,70.398,120,21.09,63.92,283.1,4.68,65.69,4900.75,28.27,60.86,0.374,0.354,0.729,28.823,"1","1",292,"0"
"160",2009,108,99,151,141,1,0,72.303,56,16.41,50.9,292.7,4.73,60.91,2324.75,28.96,48.98,-0.126,-1.602,-1.728,25.86,"0","0",311,"0"
"161",2006,21,44,304,86,1,0,70.885,52,19.21,62.38,289.1,4.76,63.21,1821,28.89,53.69,0.637,0.074,0.675,7.81,"1","0",304,"0"
"162",2015,42,99,152,66,4,1,70.8,90,19.42,65.51,289.5,4.64,64.94,3786.75,28.66,61.27,0.039,0.366,0.405,36.657,"0","0",312,"0"
"163",2013,65,99,152,146,2,0,71.016,70,18.69,59.27,277.9,4.74,62.48,2638.667,28.7,60.52,0.432,-0.071,0.361,5.261,"0","0",312,"0"
"164",2005,8,99,150,6,11,1,69.66,87,24.51,65.96,287.8,4.58,67.39,2885,28.71,56.86,0.305,0.922,1.226,123.02,"0","0",310,"0"
"165",2006,20,9,294,10,6,1,70.089,76,25.54,69.18,285.4,4.65,66.18,2937.917,29.01,59.29,0.338,0.911,1.249,39.7,"1","1",294,"1"
"166",2007,53,42,299,80,7,0,69.883,80,18.58,64.85,282.5,4.7,63.78,2865.833,28.83,58.57,0.278,0.612,0.89,7.963,"1","0",299,"1"
"167",2009,61,14,286,9,7,0,69.73,98,22.22,73.26,284.2,4.64,68.32,3515.917,28.97,61.19,0.093,1.057,1.15,8.803,"1","1",286,"1"
"168",2010,79,24,286,40,2,0,70.337,86,20,71.88,281.3,4.72,67.58,2884.667,28.89,61.29,0.274,0.433,0.693,25.518,"1","1",286,"1"
"169",2011,34,50,296,3,7,1,69.706,78,22.04,71.82,279.1,4.59,70.2,2464.417,28.96,61.21,0.446,0.836,1.282,18.068,"1","0",296,"1"
"170",2012,76,13,287,61,5,0,70.74,60,16.77,69.75,275.5,4.71,66.09,1886.5,29.22,61.86,-0.141,0.331,0.191,1.999,"1","1",287,"1"
"171",2005,7,22,291,7,9,0,69.839,80,24.26,57.88,305.4,4.61,66.81,3200.083,29.15,59.82,0.195,0.945,1.14,0,"1","1",291,"0"
"172",2006,17,27,300,17,4,1,70.785,85,22.52,59.89,301.9,4.6,66.59,3137.75,29,55.14,0.266,0.586,0.758,0,"1","0",300,"1"
"173",2010,23,99,152,69,3,0,70.888,79,22.32,64.2,297.7,4.6,70.25,2965.417,30.24,54.37,-0.51,0.68,0.173,0,"0","0",312,"1"
"174",2015,159,42,299,155,2,1,71.289,51,15.97,64.94,294.7,4.74,67.43,2077.667,29.67,57.19,-0.347,-0.031,-0.377,4.023,"1","0",299,"1"
"175",2006,76,30,301,67,6,1,70.67,115,23.43,63.47,282.9,4.7,65.27,4837.5,28.83,59.37,0.661,-0.169,0.408,0,"1","0",301,"0"
"176",2013,168,99,152,171,1,1,72.271,58,15.64,60.49,291.5,4.76,63.89,3118.333,29.86,49.34,-0.216,-0.859,-1.075,4.39,"0","0",312,"0"
"177",2008,72,44,293,66,6,0,70.587,74,22.6,61.18,275.5,4.76,66.11,3336.417,28.83,61.12,0.652,-0.119,0.532,0,"1","0",293,"0"
"178",2008,40,30,287,104,3,1,71.223,92,19.34,53.05,309.7,4.71,63.71,4862.5,29.4,51.58,-0.319,0.038,-0.28,67.676,"1","0",287,"0"
