"","year","wgr","masters_finish","total_score","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","sg_total","points_gained","m_cut","top_25","new_score","m_play"
"388",2015,27,55,303,42,7,0,70.121,98,25.42,62.51,280.1,4.65,64.56,3191.417,28.35,62.87,0.233,0.711,0.944,29.181,"1","0",303,"1"
"389",2016,51,99,151,40,8,0,70.298,96,15.61,65.3,279.6,4.68,66.73,3160.75,28.84,58.53,0.074,0.553,0.627,31.341,"0","0",311,"1"
"390",2013,59,8,288,7,3,0,70.632,83,20.09,64.21,289.8,4.59,68.92,3100.583,29.51,54.75,-0.284,0.751,0.467,60.208,"1","1",288,"0"
"391",2014,86,99,151,40,3,1,70.62,90,20.47,64.28,291.6,4.64,68.91,3130.25,29.76,53.41,-0.467,0.878,0.411,0,"0","0",311,"1"
"392",2010,138,99,149,30,5,0,70.727,90,19.59,65.64,290.3,4.67,66.67,4386.417,29.07,56.59,0.044,0.086,0.13,9.363,"0","0",309,"0"
"393",2012,78,99,153,110,3,0,70.821,89,17.81,61.63,292.8,4.68,66.22,3933.917,29.34,58.22,-0.054,0.322,0.268,68.577,"0","0",313,"1"
"394",2013,45,42,296,54,5,1,70.267,86,18.03,67.25,287.5,4.64,66.41,3065.75,29.33,59.42,0.246,0.611,0.858,25.489,"1","0",296,"1"
"395",2014,74,12,282,86,2,1,71.354,79,21.32,68.04,288.6,4.7,63.25,3387,29,54.07,0.006,0.068,0.074,8.02,"1","1",282,"1"
"396",2015,117,34,296,98,2,0,71.282,95,21.72,68.63,289.5,4.7,68.99,3745.417,29.65,58.66,-0.219,0.352,0.133,30.59,"1","0",296,"1"
"397",2008,60,46,294,13,6,0,70.067,98,21.14,61.93,291,4.57,68.2,3943.75,29.42,60.43,0.343,0.75,1.092,13.986,"1","0",294,"0"
"398",2011,47,99,151,11,4,0,70.317,98,23.67,59.52,304.6,4.54,68.21,4027.75,29.46,54.17,-0.506,1.171,0.665,90.226,"0","0",311,"0"
"399",2017,44,52,297,10,5,1,69.989,104,22.47,68.55,296.5,4.59,70.39,4644.5,29.63,58.35,-0.309,1.259,0.951,32.797,"1","0",297,"1"
"400",2005,176,42,296,176,0,0,71.431,54,19.63,70.16,275.7,4.77,62.22,2695.333,29.06,58.82,0.328,-0.586,-0.257,0,"1","0",296,"0"
"401",2006,185,99,161,185,1,0,71.784,53,16.79,74.33,278.3,4.77,64.16,1984.083,29.18,60.49,0.363,-0.903,-0.536,0,"0","0",321,"1"
"402",2005,39,99,150,147,0,0,70.657,50,15.76,61.48,296.8,4.7,63.89,1998.333,29.75,53.53,-0.387,0.396,0.009,36.36,"0","0",310,"0"
"403",2012,13,8,285,5,7,0,70.084,60,21.39,62.17,298.1,4.65,69.75,2163.5,30.06,48.3,-0.359,1.143,0.784,31.263,"1","1",285,"1"
"404",2013,38,7,287,84,6,0,70.158,70,15.96,62.59,290.3,4.73,65.22,2516.167,29.42,61.57,-0.484,1.088,0.604,11.312,"1","1",287,"1"
"405",2014,30,46,290,56,2,0,70.738,57,20.69,61.22,292.3,4.67,63.69,2403.417,28.95,56.28,0.151,0.495,0.646,28.601,"1","0",290,"1"
"406",2015,66,2,286,17,1,0,70.484,56,21.08,59.7,300,4.77,66.45,1813.75,29.29,52.23,0.595,0.283,0.879,2.357,"1","1",286,"1"
"407",2012,6,99,150,8,5,0,69.707,65,24.86,62.41,299.5,4.61,68.78,2596.167,29.46,55.37,-0.004,0.98,0.976,53.785,"0","0",310,"0"
"408",2014,34,19,284,119,1,0,70.852,50,18.59,60.9,300.5,4.81,66.43,1639,29.98,51.8,-0.429,0.212,-0.217,23.9,"1","1",284,"1"
"409",2015,11,15,291,12,6,0,70.16,68,25.77,59.84,298.8,4.61,68.28,2163.167,29.19,61.3,-0.22,0.825,0.605,93.47,"1","1",291,"1"
"410",2016,28,41,295,28,3,0,70.327,63,19.88,61.67,294,4.67,68.15,1953.5,29.7,54.21,-0.021,0.857,0.836,41.935,"1","0",295,"1"
"411",2017,31,12,282,65,4,0,70.22,69,17.61,59.98,295.2,4.64,65.13,2416.083,28.91,62.91,0.439,0.74,1.179,17.822,"1","1",282,"1"
"412",2005,51,99,151,39,7,1,70.833,88,21.85,60.72,302.2,4.63,67.51,4509.75,29.28,56.26,-0.101,0.623,0.522,0,"0","0",311,"0"
"413",2006,51,20,298,8,9,0,70.263,105,20.42,63.69,299.4,4.56,67.33,4380.5,29.15,56.23,0.138,1.125,1.198,0,"1","1",298,"1"
"414",2009,24,36,292,20,6,1,69.97,93,20.99,65.49,297.4,4.63,65.65,4207.917,28.86,58.09,0.149,0.619,0.768,16.059,"1","0",292,"1"
"415",2010,88,99,146,35,3,0,70.949,75,22.52,62.84,295.7,4.63,67.42,2995.833,29.65,54.15,-0.115,0.416,0.297,6.543,"0","0",306,"1"
"416",2011,87,99,154,27,1,1,70.445,74,22.57,61.05,294.6,4.54,65.92,2984.833,29.26,53.74,0.236,0.206,0.442,0,"0","0",314,"1"
"417",2013,130,42,296,130,2,0,71.577,65,18.92,61.62,293.7,4.71,66.41,2515.083,30.51,51.91,-0.851,0.765,-0.086,0,"1","0",296,"1"
"418",2005,9,42,296,21,5,0,69.329,67,16.44,64.34,284.5,4.64,68.43,1544.667,29.32,60.12,0.362,1.434,1.796,75.8,"1","0",296,"0"
"419",2006,11,10,295,12,10,1,69.166,66,21.92,66.86,283.7,4.64,66.05,1792.417,28.54,65.45,0.532,1.514,1.929,57.49,"1","1",295,"1"
"420",2007,16,99,148,85,5,0,70.118,69,17.79,68.15,278.4,4.73,63.18,2215.333,29.03,57.43,0.438,0.489,0.927,68.545,"0","0",308,"1"
"421",2009,20,99,149,85,6,0,70.012,79,22.96,62.5,275.7,4.61,63.01,2876.417,28.11,62.85,0.934,0.135,1.069,61.935,"0","0",309,"1"
"422",2010,3,4,278,96,7,0,69.85,71,17.53,62.36,277,4.71,65.28,2182.917,28.46,65.41,0.87,0.619,1.493,96.81,"1","1",278,"1"
"423",2011,1,32,291,7,14,2,68.861,73,25.9,64.29,284.1,4.55,67.33,2207.167,28.03,63.71,0.87,1.408,2.278,76.238,"1","0",291,"1"
"424",2012,4,25,290,19,8,1,69.687,63,24.68,65.16,280.1,4.59,64.96,2170.167,28.63,62.66,0.818,0.824,1.641,24.19,"1","1",290,"1"
"425",2013,27,99,149,63,5,0,69.793,60,22.58,62.87,278.1,4.68,62.16,1937.333,28.21,61.52,0.528,0.752,1.279,28.219,"0","0",309,"1"
"426",2014,50,99,147,121,3,0,70.735,57,27.39,62.56,278.1,4.66,63,1871.833,28.59,60.59,0.517,0.173,0.69,11.274,"0","0",307,"1"
"427",2009,80,99,151,45,3,0,70.587,91,20.82,59.44,298.6,4.71,67.18,4561.167,29.38,57.39,0.141,0.212,0.353,31.411,"0","0",311,"0"
"428",2012,104,4,283,167,2,1,70.831,84,12.78,55.2,289.4,4.68,62.76,3944.667,29.26,58.26,-0.331,0.543,0.212,9.523,"1","1",283,"1"
"429",2013,68,99,149,129,4,0,70.532,77,15.22,58.77,286.6,4.72,65.08,3291.583,29.25,57.64,0.08,0.237,0.318,32.507,"0","0",309,"1"
"430",2015,31,99,151,107,4,0,70.569,74,24.88,54.99,294.8,4.66,65.62,2935.25,28.99,56.67,-0.02,0.322,0.302,24.769,"0","0",311,"1"
"431",2016,27,43,296,51,2,0,70.554,89,14.93,60.55,295,4.67,65.31,3423,28.85,60.34,0.252,0.258,0.51,81.81,"1","0",296,"1"
"432",2017,16,9,280,8,7,2,69.468,94,19.55,57.64,298.1,4.59,67.38,3674.333,28.77,60.99,0.353,1.071,1.424,33.486,"1","1",280,"1"
"433",2005,68,99,156,14,5,1,70.49,92,18.63,66.51,289.3,4.64,65.86,4335.333,29.16,57.32,-0.012,0.73,0.718,0,"0","0",316,"0"
"434",2006,58,20,298,177,1,0,71.63,94,16.83,65.3,282.4,4.72,62.07,4594.667,29.37,56.22,-0.276,0.139,-0.168,0,"1","1",298,"1"
"435",2007,41,99,153,34,6,1,70.579,93,21.18,65.09,290.2,4.57,64.11,3904.667,29,56.35,-0.213,0.717,0.504,31.417,"0","0",313,"1"
"436",2005,54,22,291,72,3,0,71.119,70,19.75,62.66,290.4,4.65,62.91,3074.083,29.34,50.88,-0.228,-0.446,-0.675,0,"1","1",291,"0"
"437",2005,187,99,154,187,0,0,72.09,66,16.49,60.93,277.1,4.88,59.76,3051.833,28.59,60.67,0.47,-1.084,-0.614,0,"0","0",314,"0"
"438",2006,193,99,153,193,0,0,72.244,52,16.46,57.35,274.4,4.8,59.44,2064.333,28.7,58.9,0.413,-1.105,-0.893,0,"0","0",313,"1"
"439",2010,47,99,147,102,2,0,71.098,87,18.09,68.85,280.6,4.71,70.28,3428.5,29.71,62.16,0.139,-0.134,0.009,112.281,"0","0",307,"0"
"440",2011,26,99,154,69,4,2,70.526,89,16.82,67.63,284.8,4.66,66.03,3140.25,29.09,62.97,0.233,0.245,0.477,84.791,"0","0",314,"1"
"441",2013,60,31,293,120,3,0,70.559,61,19.59,61.36,288.4,4.66,64.85,2094,30,52.59,0.137,-0.003,0.135,5.204,"1","0",293,"0"
"442",2014,13,99,151,28,4,2,70.468,65,21,61.27,294.9,4.74,64.58,2742.083,29,53.43,-0.111,0.355,0.244,35.594,"0","0",311,"1"
"443",2010,21,20,285,72,4,0,71.158,91,20.88,60.27,296.5,4.63,67.83,3864.167,29.68,57.31,-0.304,0.448,0.145,100.721,"1","1",285,"0"
"444",2011,35,57,299,18,6,1,70.341,77,23.53,58.51,303,4.64,66.59,3355.25,28.91,59.08,0.161,0.835,0.996,47.679,"1","0",299,"1"
"445",2012,117,99,149,91,3,0,70.989,77,23.45,59.16,298.2,4.67,65.3,3415.917,29.52,55.92,0.099,0.449,0.549,3.744,"0","0",309,"1"
"446",2008,49,99,151,7,5,0,70.391,91,20,64.91,295.9,4.6,67.58,4251.583,29.53,58,0.122,0.704,0.826,29.168,"0","0",311,"0"
"447",2013,11,99,155,44,4,0,71.023,89,21.8,58.94,288.1,4.71,65.54,4053.333,29.01,56.52,-0.092,0.385,0.293,0,"0","0",315,"0"
"448",2014,40,99,147,104,6,1,70.722,85,18.18,56.72,286.3,4.64,63.33,3493.833,28.82,58.82,0.733,-0.236,0.497,65.497,"0","0",307,"1"
"449",2013,13,99,152,13,5,0,70.245,83,16.59,64.74,292.3,4.63,66,3343.667,28.89,63.98,0.145,0.74,0.885,0,"0","0",312,"0"
"450",2009,34,24,288,35,5,1,70.112,82,21.11,65.99,283.2,4.64,64.23,3320.833,28.34,65.91,0.698,0.461,1.158,63.933,"1","1",288,"0"
"451",2010,9,27,287,1,11,1,69.606,97,21.67,67.89,286.9,4.56,69.36,3279.333,28.74,64.69,0.648,0.827,1.461,79.652,"1","0",287,"1"
"452",2011,18,3,280,6,9,0,69.515,94,19.51,64.75,286.2,4.58,66.98,3201.083,28.52,62.91,0.379,1.161,1.54,40.862,"1","1",280,"1"
"453",2012,9,8,285,24,9,1,69.477,86,20.1,65.06,286.2,4.67,65.38,3181.25,28.51,62.43,0.472,0.91,1.382,101.743,"1","1",285,"1"
"454",2013,11,5,286,20,8,2,69.561,93,17.09,58.93,284.9,4.54,65.84,2967.167,28.64,63.55,0.398,0.999,1.398,41.282,"1","1",286,"1"
"455",2014,14,46,290,9,11,1,69.416,91,16.59,67.37,283.8,4.65,66.92,3156,28.74,62.4,0.457,1.117,1.573,46.63,"1","0",290,"1"
"456",2015,28,24,294,9,7,0,70.04,97,24.2,63.23,288.5,4.54,66.55,3683.583,28.39,63.78,0.316,0.817,1.133,30.336,"1","1",294,"1"
"457",2016,21,4,283,16,10,0,69.844,100,20.83,65.67,285.8,4.6,67.82,3553.333,29.02,61.51,0.381,0.932,1.314,22.134,"1","1",283,"1"
"458",2017,20,28,288,35,9,0,69.806,95,24.54,65.36,285.1,4.64,66.6,3424.5,28.7,65.78,0.264,0.842,1.106,34.547,"1","0",288,"1"
"459",2012,45,25,290,98,3,0,70.718,80,18.6,59.43,283.4,4.63,63.26,3403.167,29,55.39,0.355,-0.25,0.106,66.73,"1","1",290,"0"
"460",2005,43,11,287,171,2,0,71.169,71,19.42,63.69,281.3,4.69,61.95,2361.5,28.92,58.41,-0.171,0.109,-0.062,47.74,"1","1",287,"0"
"461",2006,48,20,298,21,6,0,70.255,88,21.79,64.1,281.2,4.67,66.47,3153.417,29.06,58.67,-0.035,0.799,0.741,19.34,"1","1",298,"1"
"462",2007,37,17,290,42,4,1,70.151,82,20.83,63.82,289.3,4.68,63.03,3002,28.94,58.44,-0.294,1.005,0.711,25.836,"1","1",290,"1"
"463",2008,19,46,294,27,8,0,70.144,88,19.05,62.46,284.8,4.65,64.62,2788,28.63,62.27,0.169,0.758,0.926,45.698,"1","0",294,"1"
"464",2009,46,43,296,65,6,0,70.228,85,17.75,63.26,279.3,4.62,63.03,2923.583,28.43,63.15,0.469,0.311,0.78,18.176,"1","0",296,"1"
"465",2010,260,99,155,156,1,0,71.571,59,13.74,53.83,273.9,4.75,57.89,1706.917,28.16,58.8,-0.018,-0.221,-0.241,0,"0","0",315,"1"
"466",2013,4,44,297,167,0,0,71.643,60,18.23,55.07,270.5,4.7,56.9,2271.583,28.07,59.11,0.288,-1.059,-0.771,0,"1","0",297,"1"
"467",2014,173,99,163,173,1,0,71.789,69,18.6,52.76,271.2,4.79,57.44,2747.833,28.4,59.84,0.256,-0.882,-0.626,0,"0","0",323,"1"
"468",2014,102,28,287,58,2,0,70.899,103,23.05,54.09,295.4,4.68,62.74,4650.917,28.53,57.53,0.506,-0.472,0.034,26.373,"1","0",287,"0"
"469",2009,165,48,302,161,1,1,71.185,104,17.29,60.66,283.5,4.67,62.89,4682.917,28.81,61.53,0.375,-0.472,-0.097,19.753,"1","0",302,"0"
"470",2007,39,99,149,190,3,0,70.63,72,13.94,62.68,279.3,4.71,60.21,2670.083,29.13,56.26,-0.057,0.227,0.17,23.831,"0","0",309,"0"
"471",2007,123,11,288,70,3,1,70.789,87,18.11,61.02,301.4,4.65,66.48,3661.833,29.64,57.71,-0.198,0.454,0.256,18.086,"1","1",288,"0"
"472",2008,35,19,285,36,1,0,70.789,96,18.84,61.21,302.9,4.6,68.23,4318.417,29.74,57.19,-0.066,0.518,0.452,118.736,"1","1",285,"1"
"473",2009,32,7,280,24,4,1,70.071,86,26.97,57.81,305.3,4.52,66.09,3599.25,29.16,58.67,0.237,0.876,1.113,43.726,"1","1",280,"1"
"474",2010,14,46,292,8,8,0,70.291,91,20.94,62.63,296.5,4.65,69.63,3216.5,29.32,55.51,0.09,0.806,0.915,114.876,"1","0",292,"1"
"475",2011,20,32,291,5,10,2,69.518,80,20.97,58.15,301.9,4.57,66.88,3219.25,28.44,62.96,0.546,1.165,1.712,24.039,"1","0",291,"1"
"476",2012,23,13,287,37,5,1,70.577,97,19.3,58.86,296.8,4.62,66.43,3786.417,29.29,55.11,-0.028,0.563,0.536,31.553,"1","1",287,"1"
"477",2013,44,44,297,60,4,0,70.78,88,18,62.4,291.2,4.65,68.48,3532.083,29.99,56.35,0.006,0.506,0.512,7.159,"1","0",297,"1"
"478",2005,80,45,297,45,2,1,70.691,99,19.83,73.46,278.9,4.73,69.12,3858.917,29.23,59.09,0.354,0.143,0.497,0,"1","0",297,"0"
"479",2005,29,27,292,132,4,2,70.843,50,22.09,54.61,293.9,4.66,62.73,1972.417,29,54.35,0.187,0.102,0.289,24.26,"1","0",292,"0"
"480",2006,10,7,293,32,3,0,70.334,54,23.26,66.14,294.7,4.65,65.22,1764.417,29.04,60.38,-0.092,1.051,1.29,40.31,"1","1",293,"1"
"481",2007,12,5,286,102,3,1,69.822,64,21.67,57.52,293.2,4.75,60.3,2439.417,28.32,61.63,0.26,0.666,0.926,38.653,"1","1",286,"1"
"482",2008,5,35,288,19,6,2,69.277,52,23.49,59.37,296.3,4.68,60.67,1471.417,28.04,61.02,-0.054,0.959,0.905,25.463,"1","0",288,"1"
"483",2009,10,99,149,129,6,0,70.229,66,19.44,55.12,285.8,4.66,61.2,2354,28.29,63.66,0.477,0.733,1.21,38.676,"0","0",309,"1"
"484",2010,36,99,149,75,5,0,70.174,57,25,56.7,292.1,4.65,61.9,2094.167,28.3,61.2,0.267,0.799,1.063,12.133,"0","0",309,"1"
"485",2011,96,8,284,137,3,0,70.809,60,16.07,52.98,294.7,4.75,64.12,2013.25,28.98,59.84,0.237,0.007,0.245,18.032,"1","1",284,"1"
"486",2012,52,99,153,32,3,0,69.736,67,21.43,59.86,293.6,4.61,62.17,2191.417,28.41,59.67,-0.02,0.908,0.888,32.522,"0","0",313,"1"
"487",2008,48,99,154,1,6,0,70.08,93,16.06,63.27,294.2,4.66,66.91,3672.833,29.38,56.2,0.208,0.856,1.064,58.432,"0","0",314,"0"
"488",2017,21,99,152,29,6,1,70.25,93,19.11,61.46,290.6,4.59,66.04,3477.083,28.66,63.38,0.342,0.535,0.877,27.518,"0","0",312,"1"
"489",2017,35,99,151,7,4,0,69.971,52,22.43,61.47,298.9,4.56,69.21,2353.833,29.19,60.15,0.159,1.111,1.269,32.809,"0","0",311,"0"
"490",2013,22,99,152,40,5,1,70.807,83,18.11,56.13,292,4.62,63.79,3793.917,28.6,60.44,0.35,-0.227,0.122,135.305,"0","0",312,"0"
"491",2014,15,22,286,49,4,2,70.598,92,17.49,55.59,292.3,4.67,63.64,3840,28.76,59.42,0.249,0.081,0.331,91.466,"1","1",286,"1"
"492",2015,10,49,300,43,4,1,70.292,103,21.29,54.78,292.9,4.61,64.42,3893.25,28.16,61.99,0.394,0.465,0.859,60.168,"1","0",300,"1"
"493",2016,13,99,153,14,11,1,70.17,105,17.89,55.96,297.4,4.57,64.65,3795.583,28.4,63.97,0.28,0.746,1.026,19.189,"0","0",313,"1"
"494",2017,24,1,273,100,4,0,70.453,107,22.02,56.52,295.3,4.65,62.09,4715.417,28.33,60.92,0.536,0.356,0.893,53.119,"1","1",273,"1"
"495",2017,52,99,152,158,3,0,71.598,84,22.98,52.54,293,4.78,63.52,3655.917,29.09,54.31,-0.103,-0.475,-0.578,67.483,"0","0",312,"0"
"496",2008,12,20,286,132,4,0,70.308,55,20.22,62.43,299.2,4.78,65.71,2014.667,30.44,52.02,-0.299,0.595,0.296,113.747,"1","1",286,"0"
"497",2010,7,38,289,5,7,0,69.72,64,18.66,61.31,294.2,4.64,68.68,2136.75,29.07,60.86,0.812,0.587,1.411,59.218,"1","0",289,"1"
"498",2014,48,6,279,21,0,0,70.152,56,21.88,60.49,293,4.6,65.77,1948.083,29,56.23,0.283,0.725,1.008,50.358,"1","1",279,"1"
"499",2015,25,4,287,19,8,0,69.806,87,24.64,64.16,297.8,4.58,72.36,2827.083,29.77,56.13,0.014,1.202,1.216,26.951,"1","1",287,"1"
"500",2016,16,6,284,25,7,0,69.95,77,23.53,64.67,295.2,4.64,70.8,2613.75,29.69,61.44,0.112,1.26,1.372,27.934,"1","1",284,"1"
"501",2017,13,15,283,18,9,0,69.469,94,23,63.46,297,4.63,69.96,2943.417,29.02,64.52,0.138,1.399,1.537,80.227,"1","1",283,"1"
"502",2006,43,99,158,168,2,0,71.443,72,16.83,72.9,274.3,4.66,65.28,2961.083,29.17,60.67,-0.215,0.231,-0.03,65.82,"0","0",318,"0"
"503",2013,69,99,159,71,1,0,70.368,45,21.97,56.31,295.3,4.58,61.24,1618.417,28.67,58.33,0.484,0.024,0.508,15.063,"0","0",319,"0"
"504",2005,61,99,150,136,3,1,70.878,85,15.95,61.71,289.1,4.71,64.29,3602.333,29.37,55.19,-0.164,0.396,0.233,0,"0","0",310,"0"
"505",2007,72,99,152,111,3,0,70.611,85,19.25,66.7,290.9,4.7,64.61,4295.5,29.51,59.88,-0.179,0.32,0.141,9.615,"0","0",312,"1"
"506",2005,4,1,281,8,9,4,69.386,81,21.28,58.69,300,4.59,66.89,2625.5,28.69,62.36,0.264,1.261,1.525,105.72,"1","1",281,"0"
"507",2006,4,24,299,10,8,2,69.5,74,23.33,58.61,300.7,4.54,68.28,2434.417,28.91,55.84,0.268,1.688,1.88,103.63,"1","1",299,"1"
"508",2007,2,5,286,7,7,3,69.456,73,19.13,56.94,298.1,4.45,64.95,2516.417,28.8,59.15,0.156,1.441,1.597,126.532,"1","1",286,"1"
"509",2008,2,5,279,3,8,2,69.167,80,26.21,55.27,295.7,4.59,65.81,2801.5,28.74,60.42,0.214,1.604,1.818,150.19,"1","1",279,"1"
"510",2009,3,1,272,33,7,3,70.218,66,21.28,52.21,300.1,4.67,64.29,2351.333,28.92,57.53,-0.146,0.963,0.816,24.578,"1","1",272,"1"
"511",2010,6,27,287,16,6,1,69.966,76,19.7,52.66,299.1,4.58,65.13,2728.5,28.79,61.84,-0.147,1.151,1.001,49.566,"1","0",287,"1"
"512",2011,14,3,280,21,7,1,69.891,79,18.52,53.2,299.8,4.54,66.96,2773.917,29.08,62.01,-0.19,1.373,1.182,88.218,"1","1",280,"1"
"513",2012,10,54,297,31,7,1,70.03,79,21.05,54.31,294.4,4.59,64.14,3019,28.49,61.57,0.562,0.86,1.422,83.834,"1","0",297,"1"
"514",2013,5,99,149,18,7,2,69.742,78,22.34,57.3,287.9,4.6,66.67,2667.083,28.56,58.55,0.661,0.775,1.436,33.677,"0","0",309,"1"
"515",2014,21,2,274,32,1,0,70.278,71,24.59,58.01,292.4,4.7,65.26,2570.417,28.58,61.71,0.234,0.634,0.868,12.197,"1","1",274,"1"
"516",2015,20,99,151,44,3,0,70.585,70,22.9,55.98,300.5,4.58,61.51,3163.833,28.23,59.38,0.262,0.319,0.581,76.425,"0","0",311,"1"
"517",2016,18,22,290,9,6,0,69.582,75,26.83,54.82,294.8,4.59,66.05,2948.167,28.21,64.32,0.565,0.799,1.364,40.743,"1","1",290,"1"
"518",2017,18,36,290,34,5,0,70.168,85,22.12,55.05,293.5,4.54,62.85,3268.583,28.25,60,0.337,0.711,1.048,124.153,"1","0",290,"1"
"519",2005,3,3,284,10,8,1,70.055,71,21.3,59.16,295.4,4.55,67.4,2158.583,29.48,56.15,0.088,0.583,0.671,93.74,"1","1",284,"0"
"520",2006,9,2,291,37,6,0,70.291,68,23.78,57.28,297.6,4.64,65.46,2051.167,28.98,57.37,0.129,1.016,1.144,81.23,"1","1",291,"1"
"521",2007,26,17,290,174,1,0,70.297,50,15.34,53.55,292.9,4.72,58.91,1914.917,29,54.37,-0.02,0.225,0.206,40.874,"1","1",290,"1"
"522",2008,22,99,146,163,2,0,70.272,59,16.93,56.79,287.1,4.73,59.39,1773.167,28.9,58.02,-0.121,0.476,0.355,91.813,"0","0",306,"1"
"523",2009,15,38,294,46,5,1,69.961,74,16.43,59.59,292.3,4.56,62.33,2960.333,28.63,59.8,0.47,0.541,1.011,76.15,"1","0",294,"1"
"524",2010,19,99,148,26,10,0,69.718,75,20.63,64.79,291.4,4.6,65.96,2391.75,28.65,63.91,0.679,0.917,1.598,35.724,"0","0",308,"1"
"525",2005,180,42,296,181,2,0,72.344,66,16.97,58,288,4.77,63.35,2599.333,29.79,52.57,-0.4,-0.208,-0.608,0,"1","0",296,"0"
"526",2006,189,54,308,117,1,0,71.468,85,20.16,63.24,295.6,4.6,66.2,3939.167,29.6,53.66,-0.084,0.026,-0.048,0,"1","0",308,"1"
"527",2010,31,38,289,34,7,0,70.429,98,20,64.19,292.7,4.69,69.9,3822.833,29.3,59.51,0.129,0.665,0.793,33.103,"1","0",289,"0"
"528",2011,41,27,290,17,4,0,70.007,84,25.1,56.7,299.5,4.61,64.47,3527.25,28.35,55.02,0.351,0.566,0.917,19.18,"1","0",290,"1"
"529",2012,29,38,292,42,5,1,70.606,84,20.48,64.43,293.2,4.61,64.99,3398.417,29.17,56.79,-0.202,0.72,0.518,46.775,"1","0",292,"1"
"530",2013,40,5,286,26,5,0,70.212,75,18.81,62.27,286.4,4.62,63.59,2881.583,28.65,59.59,0.425,0.358,0.783,35.64,"1","1",286,"1"
"531",2014,12,12,282,38,10,0,70.172,91,24.07,59.93,297.5,4.59,64.51,3024.333,28.46,62.06,0.29,0.48,0.769,13.824,"1","1",282,"1"
"532",2015,5,99,153,8,7,2,70.23,76,23.08,62.08,296.8,4.59,65.81,2762.167,28.44,61.1,0.309,0.779,1.088,122.037,"0","0",313,"1"
"533",2016,8,11,287,12,8,0,70.118,80,21.89,58.69,301.6,4.58,69.26,2835.667,29.16,62.21,0.153,1.224,1.378,102.237,"1","1",287,"1"
"534",2017,8,2,274,2,10,1,69.083,78,21.91,63.29,300.5,4.57,66.98,2808.25,28.32,62.85,0.812,1.062,1.875,28.851,"1","1",274,"1"
"535",2009,190,10,283,154,1,0,71.371,67,20.75,58.3,292.6,4.71,68.17,2455.917,30.41,51.78,-1.216,0.248,-0.968,13.579,"1","1",283,"0"
"536",2010,81,20,285,60,6,0,70.47,103,20,58.37,285.5,4.73,68.23,3679.667,29.32,59.59,0.021,0.58,0.604,18.442,"1","1",285,"1"
"537",2005,36,22,291,29,3,0,70.766,95,22.61,62.27,297.7,4.64,69.48,4011.167,29.99,53.99,-0.207,0.88,0.673,44.68,"1","1",291,"0"
"538",2006,17,99,159,2,3,0,69.99,79,20.09,69.33,293.9,4.61,67.89,3293.083,29.1,56.18,0.188,0.903,1.245,81.73,"0","0",319,"1"
"539",2007,42,42,299,55,8,0,70.462,90,18.41,60.85,299.6,4.6,68.29,3766.333,30.18,53.35,-0.364,1.034,0.67,42.239,"1","0",299,"1"
"540",2008,30,38,289,20,9,0,69.728,108,19.11,65.64,291.7,4.68,70.4,4232.333,30.07,55.26,-0.139,1.546,1.407,29.421,"1","0",289,"1"
"541",2009,16,45,298,41,3,0,70.067,71,15.74,66.94,293.1,4.68,68.1,2403.25,29.99,60.45,-0.631,1.619,0.987,64.403,"1","0",298,"1"
"542",2010,30,99,146,4,5,0,70.131,76,21.67,64.75,289.1,4.62,68.17,3295.75,29.31,56.37,0.137,1.014,1.156,29.223,"0","0",306,"1"
"543",2011,71,99,152,87,3,0,70.931,83,22.01,52.97,313.4,4.6,66.13,4205.583,29.4,53.56,-0.384,0.523,0.139,48.678,"0","0",312,"0"
"544",2012,38,38,292,20,8,0,70.066,89,26.64,56.58,310.3,4.57,69.23,4162.167,29.56,55.58,-0.225,1.212,0.988,34.99,"1","0",292,"1"
"545",2011,37,50,296,45,3,0,70.211,61,23.42,56.78,299.2,4.6,63.37,2479.25,28.92,60.41,0.066,0.612,0.678,15.713,"1","0",296,"0"
"546",2014,85,99,156,49,2,0,70.502,75,16.91,59.62,300,4.66,65.65,3121.167,28.9,59,0.119,0.319,0.438,17.998,"0","0",316,"0"
"547",2015,52,99,156,15,9,1,70.13,110,22.76,59.47,297.1,4.65,69.14,4769.5,29.1,59.57,0.381,0.712,1.093,12.135,"0","0",316,"1"
"548",2013,86,99,153,31,4,0,70.494,97,20.24,67.36,282.3,4.58,67.3,3467.25,29.24,61.47,-0.465,0.931,0.466,8.923,"0","0",313,"0"
"549",2016,86,99,157,21,4,0,70.588,97,22.03,69.37,284.2,4.6,69.13,4135.667,29.25,60.11,-0.257,0.844,0.587,4.644,"0","0",317,"1"
"550",2005,189,36,294,122,1,0,70.861,73,14.95,65.75,287.7,4.69,65.45,3443.333,29.32,60.35,-0.439,0.674,0.235,0,"1","0",294,"0"
"551",2008,92,49,298,154,2,0,70.778,87,19.49,64.66,278.6,4.7,62.58,3558.417,29.33,56.83,-0.264,0.287,0.023,7.477,"1","0",298,"1"
"552",2005,28,16,289,72,6,0,70.634,89,19.84,60.29,295.9,4.68,65.61,3692.167,29.23,55.96,0.134,0.688,0.822,80.35,"1","1",289,"0"
