"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","masters_finish","total_score","sg_total","wgr"
"2436",2010,"Tim Herron","172",0,0,71.171,79,18.98,53.49,291.7,4.69,66.51,3418,29.36,58.86,0.171,-0.4,NA,NA,-0.227,"278"
"2437",2011,"Tim Herron","118",3,0,70.634,85,21.52,57.29,291.8,4.7,65.64,4007.917,28.99,59.08,0.148,-0.026,NA,NA,0.122,"66"
"2438",2012,"Tim Herron","99",2,0,70.781,88,16.94,59.93,289.4,4.68,67.36,3364,29.78,57.06,-0.174,0.508,NA,NA,0.334,"241"
"2439",2013,"Tim Herron","168",0,0,71.479,45,13.16,52.24,283.6,4.74,59.75,2238,28.82,56.44,-0.041,-0.296,NA,NA,-0.338,"65"
"2440",2005,"Tim Petrovic","158",3,1,71.227,97,19.39,57.26,286.1,4.7,64.99,4392.833,29.28,58.19,-0.075,0.126,NA,NA,0.05,"113"
"2441",2006,"Tim Petrovic","176",0,0,71.624,95,14.08,63.54,281,4.73,61.29,5444.583,29.01,60.57,0.12,-0.281,NA,NA,-0.201,"127"
"2442",2007,"Tim Petrovic","73",1,0,70.879,106,18.41,60.22,286.4,4.65,62.89,5026.417,28.63,60.59,0.29,-0.175,NA,NA,0.115,"121"
"2443",2008,"Tim Petrovic","106",3,0,70.987,97,19.8,66.53,284,4.71,63.17,4194.917,28.84,58.81,0.156,-0.078,NA,NA,0.077,"274"
"2444",2009,"Tim Petrovic","105",6,0,70.732,97,19.33,66.77,282.8,4.62,65.44,4351.833,28.79,64.97,0.306,0.343,NA,NA,0.649,"137"
"2445",2010,"Tim Petrovic","138",2,0,70.992,105,22.3,67.37,278.7,4.71,66.35,4541.417,29.23,60.38,-0.006,0.255,NA,NA,0.249,"191"
"2446",2011,"Tim Petrovic","166",0,0,71.326,88,22.27,64.73,280.5,4.72,62.17,3854.75,28.64,60.49,0.177,-0.296,NA,NA,-0.119,"226"
"2447",2008,"Tim Wilkinson","111",3,0,70.997,95,16.06,66.72,279.8,4.69,65.39,3732.667,29.14,60.33,0.174,0.06,NA,NA,0.234,"7"
"2448",2014,"Tim Wilkinson","124",3,0,70.714,86,17.49,59.51,282.4,4.65,61.72,3630.667,28.55,63.19,0.205,-0.078,NA,NA,0.127,"270"
"2449",2015,"Tim Wilkinson","164",0,0,71.944,73,19.53,63.09,279.1,4.71,62.44,2678.333,28.92,58.33,-0.278,-0.569,NA,NA,-0.847,"17"
"2450",2016,"Tim Wilkinson","82",1,0,70.704,72,26.14,62.36,279.3,4.74,64.71,2180.25,28.54,63.66,0.336,0.225,NA,NA,0.561,"187"
"2451",2017,"Tim Wilkinson","76",0,0,70.95,64,19.08,65.68,279.5,4.71,63.98,2118.5,28.67,62.77,0.009,-0.062,NA,NA,-0.053,"73"
"2452",2005,"Tjaart van der Walt","151",1,0,71.957,56,16.87,66.28,283.8,4.74,66.27,3101.333,29.54,56.47,0.256,-0.898,NA,NA,-0.642,"57"
"2453",2006,"Tjaart van der Walt","173",1,0,71.576,60,18.71,69.69,282.7,4.77,64.52,2839.667,29.42,62.91,0.043,-0.205,NA,NA,-0.314,"69"
"2454",2008,"Todd Demsey","86",0,0,71.615,80,17.23,65.38,292.9,4.65,65.31,3805.083,29.42,58.32,-0.032,-0.524,NA,NA,-0.556,"126"
"2455",2005,"Todd Fischer","154",2,0,71.365,99,20.69,64.47,276,4.69,61.23,4873.167,28.32,58.35,0.195,-0.401,NA,NA,-0.206,"52"
"2456",2006,"Todd Fischer","164",0,0,71.556,101,21.55,64.83,274.6,4.65,62.23,4921.25,28.59,56.76,0.297,-0.577,NA,NA,-0.38,"145"
"2457",2005,"Todd Hamilton","160",0,0,71.458,94,18.56,61.92,287.2,4.73,63.68,3779.25,29.15,53.11,0.004,-0.143,"39","295",-0.139,"33"
"2458",2006,"Todd Hamilton","194",1,0,72.836,72,14.29,56.32,283.6,4.78,56.87,3526.417,29.01,51.34,-0.164,-1.425,"99","150",-1.726,"161"
"2459",2007,"Todd Hamilton","195",0,0,72.933,76,15.49,57.06,288.7,4.85,56.94,3367.75,29.13,50.76,0.032,-1.585,"99","154",-1.554,"155"
"2460",2008,"Todd Hamilton","161",0,0,71.077,92,15.56,66.87,284,4.75,62.98,4018.417,29.21,53.83,0.309,-0.187,"36","295",0.123,"125"
"2461",2009,"Todd Hamilton","166",1,0,71.505,83,18.9,64.6,284.8,4.75,63.65,3370.167,29.31,57.74,0.123,-0.612,"15","283",-0.489,"40"
"2462",2005,"Tom Byrum","163",0,0,71.268,83,17.34,70.28,274.3,4.72,64.93,4385,29.47,58.02,0.151,-0.305,NA,NA,-0.153,"161"
"2463",2007,"Tom Byrum","164",0,0,72.018,50,15.79,71.75,281.4,4.74,65.16,2272,30,57.14,-0.077,-0.765,NA,NA,-0.842,"67"
"2464",2005,"Tom Gillis","168",0,0,71.931,77,21.12,64.5,284.6,4.72,64.15,4203.917,29.33,55.17,-0.17,-0.45,NA,NA,-0.62,"143"
"2465",2010,"Tom Gillis","23",3,0,70.514,97,24.53,68.54,288.7,4.59,65.98,4337.667,28.75,60.27,0.359,0.261,NA,NA,0.616,"131"
"2466",2011,"Tom Gillis","124",2,0,71.134,55,17.06,64.11,290.1,4.71,66.36,2484.25,29.95,55.86,-0.436,-0.137,NA,NA,-0.573,"110"
"2467",2012,"Tom Gillis","49",3,0,70.812,75,23.91,66.09,289,4.72,63.85,3712.333,28.67,58.4,0.217,0.122,NA,NA,0.339,"157"
"2468",2013,"Tom Gillis","154",0,0,71.559,69,12.06,64.75,286.3,4.74,60.68,2937.917,29.02,60.22,0.173,-0.716,NA,NA,-0.543,"172"
"2469",2015,"Tom Hoge","96",2,0,70.812,83,17.51,58.84,292.2,4.65,66.03,3378.833,28.9,58.59,0.005,0.41,NA,NA,0.415,"139"
