"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","masters_finish","total_score","sg_total","wgr"
"426",2009,"Cameron Beckman","103",2,0,70.868,87,16.87,62.2,287,4.68,65.53,3498.333,29.25,59.03,-0.009,0.018,NA,NA,0.009,"179"
"427",2010,"Cameron Beckman","174",3,1,71.395,68,17.46,63.72,285.7,4.77,66.15,3040.083,29.61,58.21,-0.297,-0.253,NA,NA,-0.545,"161"
"428",2011,"Cameron Beckman","143",0,0,71.642,71,21.88,61.05,284.3,4.7,63.18,3574.75,29.18,56.76,-0.112,-0.541,NA,NA,-0.653,"198"
"429",2012,"Cameron Beckman","141",0,0,71.726,81,22.26,61.67,285.2,4.69,65.3,3532.583,29.88,52.81,-0.353,-0.336,NA,NA,-0.689,"117"
"430",2010,"Cameron Percy","152",1,0,71.622,73,24.52,58.93,294,4.7,70.42,2621.75,30.13,56.91,-0.491,0.255,NA,NA,-0.236,"221"
"431",2013,"Cameron Percy","83",0,0,71.106,68,16.2,59.28,293.6,4.67,65.74,2936.083,29.14,60.44,0.121,-0.288,NA,NA,-0.167,"239"
"432",2015,"Cameron Percy","76",1,0,71.039,72,22.61,60.31,290,4.66,67.78,2966.25,29.31,56.16,-0.142,0.163,NA,NA,0.02,"175"
"433",2017,"Cameron Percy","90",1,0,71.03,71,19.76,60.18,292.5,4.66,69.91,2747.833,29.78,60.23,-0.205,0.123,NA,NA,-0.082,"23"
"434",2018,"Cameron Percy","20",2,0,70.909,56,18.8,63.66,295.6,4.51,69.56,1816.917,29.36,57.3,-0.205,0.49,NA,NA,0.285,"11"
"435",2016,"Cameron Smith","163",0,0,71.759,73,16.97,59.21,286.3,4.77,62.72,2521.25,29.22,55.29,-0.057,-0.706,"55","303",-0.763,"105"
"436",2017,"Cameron Smith","61",4,1,70.909,86,21.58,56.26,292.6,4.63,63.14,3666.333,28.52,58.64,0.084,0.418,NA,NA,0.502,"124"
"437",2018,"Cameron Smith","63",7,0,70.517,85,24.3,57.03,298.4,4.58,63.18,3160.833,28.36,61.12,0.115,0.104,"5","279",0.219,"45"
"438",2010,"Cameron Tringale","149",0,0,71.598,55,20.38,58.71,294.5,4.65,70.18,2004.583,30.45,53.23,-0.711,0.243,NA,NA,-0.465,"83"
"439",2011,"Cameron Tringale","100",4,0,70.751,110,22.33,60.99,294.3,4.63,67.3,5013.25,29.47,57.69,0.197,0.042,NA,NA,0.239,"12"
"440",2012,"Cameron Tringale","119",4,0,71.023,88,20.16,64.41,290.4,4.69,66.6,3876,29.58,58.79,0.102,0.254,NA,NA,0.356,"126"
"441",2013,"Cameron Tringale","34",1,0,70.724,80,19.72,62.89,287.2,4.62,67.01,3483.667,29.09,61.68,0.104,0.239,NA,NA,0.343,"100"
"442",2014,"Cameron Tringale","63",3,0,70.63,111,21.45,63.87,282.9,4.63,66.77,4760.5,29.17,59.34,0.107,0.56,NA,NA,0.668,"165"
"443",2015,"Cameron Tringale","127",3,0,70.92,96,15.79,68.5,281.8,4.66,64.58,3738.833,29,62.09,0.125,0.244,"38","289",0.369,"92"
"444",2016,"Cameron Tringale","97",1,0,71.256,81,22.37,59.57,285.1,4.65,65.66,3853.583,29.13,57.14,0.057,-0.081,NA,NA,-0.024,"88"
"445",2017,"Cameron Tringale","148",3,0,71.343,89,15.77,58.15,280.9,4.68,64.39,3107.417,28.9,58.83,0.125,-0.265,NA,NA,-0.14,"244"
"446",2018,"Cameron Tringale","184",0,0,72.146,67,23.71,51.99,289.3,4.71,65.52,2513.417,29.81,55.24,-0.104,-0.915,NA,NA,-1.019,"15"
"447",2006,"Camilo Villegas","63",4,0,70.749,95,22.46,58.06,302.1,4.67,65.29,4215.333,29.29,56.45,-0.278,0.922,NA,NA,0.545,"74"
"448",2007,"Camilo Villegas","49",6,0,70.163,82,16.94,60.23,298.3,4.72,65.72,3454.25,29.38,57.31,0.046,0.903,"99","165",0.949,"94"
"449",2008,"Camilo Villegas","8",7,2,69.49,79,22.58,58.15,293.3,4.54,64.6,2999.667,28.97,53.52,0.088,1.166,"99","150",1.254,"60"
"450",2009,"Camilo Villegas","41",4,0,70.29,76,20.93,61.31,293,4.62,66.67,2658.083,29.34,56.85,-0.203,1.028,"13","282",0.825,"8"
"451",2010,"Camilo Villegas","95",7,1,70.425,78,16.5,61.66,289.6,4.72,66.05,2652.417,29.43,57.5,-0.396,1.087,"38","294",0.691,"12"
"452",2011,"Camilo Villegas","128",4,0,71.024,69,18.18,57.98,294.4,4.72,62.5,2803.417,29.04,55.99,-0.194,0.284,"49","294",0.091,"50"
"453",2012,"Camilo Villegas","87",0,0,71.079,79,25.12,62.01,290.3,4.63,69.55,3426.667,29.92,54.5,-0.343,0.17,NA,NA,-0.174,"124"
"454",2013,"Camilo Villegas","19",2,0,70.586,79,16.06,58.56,291.8,4.65,66.74,2684.25,29.13,56.12,-0.149,0.608,NA,NA,0.458,"269"
"455",2014,"Camilo Villegas","48",1,1,70.716,95,19.32,59.95,292.5,4.72,66.96,3795.583,29.21,56.64,0,0.316,NA,NA,0.315,"267"
"456",2015,"Camilo Villegas","156",0,0,71.067,83,22.35,54.12,292.2,4.67,63.05,3559.333,28.93,59.06,0.195,-0.019,"99","148",0.176,"128"
"457",2016,"Camilo Villegas","176",0,0,71.44,83,18.45,52.18,287,4.73,62.1,3767.167,28.81,59.55,0.203,-0.572,NA,NA,-0.369,"205"
"458",2017,"Camilo Villegas","125",2,0,70.881,76,22.75,54.37,288.7,4.7,61.88,3246.417,28.31,62.35,0.4,-0.182,NA,NA,0.218,"2"
"459",2005,"Carl Pettersson","45",3,1,70.877,109,20.74,60.82,291.7,4.62,66.08,4670,28.92,61.47,0.055,0.338,NA,NA,0.394,"105"
"460",2006,"Carl Pettersson","104",6,1,70.654,95,24.14,61.01,286.6,4.66,62.31,4304.25,28.84,58.95,0.361,0.427,"27","292",0.701,"45"
"461",2007,"Carl Pettersson","62",6,0,70.453,111,18.26,59.41,288.5,4.61,63.84,4587.417,29.1,57.68,0.232,0.589,"52","307",0.821,"45"
"462",2008,"Carl Pettersson","49",5,1,70.245,110,16.93,59.87,286,4.69,63.54,4917.167,28.8,59,0.534,0.22,NA,NA,0.754,"78"
"463",2009,"Carl Pettersson","157",1,0,71.544,86,17.03,57.55,288.6,4.69,62.53,4092.833,29.08,54.14,0.321,-0.893,"99","154",-0.572,"77"
"464",2010,"Carl Pettersson","57",4,1,70.552,99,20.16,62.82,282.1,4.78,63.8,3865.583,28.24,62.06,0.818,-0.263,NA,NA,0.554,"209"
"465",2011,"Carl Pettersson","23",5,0,70.289,95,19.47,62.29,291.8,4.62,65.77,4226.25,28.75,58.46,0.485,0.284,"99","148",0.77,"101"
"466",2012,"Carl Pettersson","28",6,1,70.013,92,19.33,57.63,297.1,4.66,63.89,4008.25,28.46,60.37,0.444,0.424,NA,NA,0.867,"68"
"467",2013,"Carl Pettersson","128",1,0,71.273,82,21.79,59.43,290.2,4.75,62.22,2997.417,29.08,54.6,-0.028,-0.101,"61","304",-0.129,"35"
"468",2014,"Carl Pettersson","70",4,0,70.52,91,23.85,58.79,295.5,4.66,66.67,4442,29.44,57.33,-0.138,0.397,NA,NA,0.259,"150"
"469",2015,"Carl Pettersson","114",3,0,70.866,106,24.39,59.05,291.6,4.67,63,4927.917,28.44,62.18,0.335,-0.099,NA,NA,0.236,"203"
"470",2017,"Carl Pettersson","173",0,0,72.419,63,18.78,51.94,280.2,4.71,57.91,2948.25,28.34,53.91,0.172,-1.456,NA,NA,-1.283,"85"
"471",2005,"Carlos Franco","107",2,0,71.103,78,20,57.44,294.7,4.67,66.3,3361.5,29.33,60.3,-0.076,0.477,"99","149",0.401,"87"
"472",2006,"Carlos Franco","153",1,0,71.975,86,19.44,55.71,293.4,4.69,65.18,4360.083,29.9,54.55,-0.215,-0.077,NA,NA,-0.424,"87"
"473",2008,"Carlos Franco","67",0,0,71.099,73,21.92,58.2,285.6,4.64,66.83,3071.917,29.43,55,0.23,-0.19,NA,NA,0.04,"14"
"474",2015,"Carlos Ortiz","34",1,0,71.098,100,21.66,59.84,298.4,4.56,66.84,4893.667,29.26,55.5,0.172,-0.048,NA,NA,0.124,"107"
"475",2016,"Carlos Ortiz","148",0,0,71.906,79,16.8,52.77,298.9,4.76,64.44,3761.667,29.47,50,-0.223,-0.477,NA,NA,-0.701,"114"
"476",2009,"Casey Wittenberg","145",1,0,71.52,71,13.16,64.69,285,4.73,67.64,2776.583,29.7,59.95,-0.431,-0.03,NA,NA,-0.461,"286"
"477",2013,"Casey Wittenberg","175",1,0,71.659,72,15.08,54.61,280.5,4.77,62.14,2700.333,29,60.59,0.254,-0.874,NA,NA,-0.62,"158"
"478",2005,"Chad Campbell","59",5,0,70.295,95,15.23,61.57,294,4.7,68.54,3694.917,29.65,55.66,0.165,0.529,"17","288",0.694,"19"
"479",2006,"Chad Campbell","52",5,1,70.585,91,19.43,59.77,290.9,4.67,67.43,3072,29.51,57.84,-0.086,0.497,"3","284",0.311,"20"
"480",2007,"Chad Campbell","178",2,1,71.309,96,21.14,62.79,287,4.78,63.77,4092.333,30.03,51.11,-0.477,0.24,"99","154",-0.237,"30"
"481",2008,"Chad Campbell","6",7,0,70.04,94,14.86,65.68,289.9,4.64,68.44,3766.5,29.5,54.68,0.169,0.732,NA,NA,0.901,"87"
"482",2009,"Chad Campbell","27",3,0,70.43,90,21.17,63.5,291,4.68,69.19,2912.25,29.3,59.75,0.03,0.572,"2","276",0.602,"73"
"483",2010,"Chad Campbell","64",2,0,70.629,94,22.69,69.01,285.1,4.77,69.06,3662.333,29.54,59.46,-0.106,0.75,"45","298",0.645,"71"
"484",2011,"Chad Campbell","104",1,0,70.273,99,20.83,63.31,291.1,4.68,71.13,3404.333,30.12,57.54,-0.368,0.932,NA,NA,0.564,"188"
"485",2012,"Chad Campbell","118",3,0,70.566,84,22.71,60.19,290.1,4.7,67.13,3829.583,29.83,54.93,-0.425,0.708,NA,NA,0.283,"194"
"486",2013,"Chad Campbell","104",1,0,71.234,78,17.79,60.7,288.9,4.61,67.03,3280.083,29.58,58.76,-0.249,0.205,NA,NA,-0.044,"247"
"487",2014,"Chad Campbell","76",1,0,70.59,57,11.02,65.36,287.8,4.69,72.43,2190.75,30.25,60.08,-0.434,0.709,NA,NA,0.275,"113"
"488",2015,"Chad Campbell","81",2,0,70.604,97,18.78,65.75,285.2,4.61,68.61,4146.333,29.41,59.31,-0.045,0.482,NA,NA,0.437,"177"
"489",2016,"Chad Campbell","74",3,0,70.566,90,16.75,64.39,287.9,4.61,68.15,3524.25,29.39,62.21,-0.256,0.821,NA,NA,0.565,"200"
"490",2017,"Chad Campbell","73",3,0,70.509,97,21.82,67.21,285.6,4.64,69.07,3493.583,29.51,64.63,-0.286,0.691,NA,NA,0.405,"180"
"491",2018,"Chad Campbell","174",2,0,71.683,87,13.45,64.7,286.5,4.7,65.54,3494.667,29.75,59.39,-0.454,-0.029,NA,NA,-0.484,"257"
"492",2008,"Chad Collins","159",0,0,71.538,72,17.04,58.98,277.5,4.8,60.86,3362.75,28.44,57.63,0.648,-1.131,NA,NA,-0.483,"118"
"493",2010,"Chad Collins","97",3,0,70.599,87,20,60.27,275.8,4.66,63.29,3653.25,28.28,64.37,0.626,-0.483,NA,NA,0.143,"136"
"494",2014,"Chad Collins","157",1,0,71.315,78,18.3,59.67,275.4,4.78,59.98,3266.083,28.41,59.66,0.438,-0.884,NA,NA,-0.446,"300"
"495",2015,"Chad Collins","94",1,0,70.681,79,20.11,63.82,278.4,4.64,66.1,2804.333,28.56,66.18,0.012,0.201,NA,NA,0.214,"124"
"496",2016,"Chad Collins","180",1,0,71.532,73,17.62,57.41,279.3,4.72,62.4,3268,28.81,60.53,-0.004,-0.448,NA,NA,-0.452,"93"
"497",2017,"Chad Collins","166",2,0,71.77,66,16.67,59.31,281.4,4.67,60.93,2563.917,28.47,63.07,0.079,-0.533,NA,NA,-0.454,"197"
"498",2011,"Charl Schwartzel","43",3,1,69.619,58,18.67,61.73,297,4.7,65.97,2136.583,29.25,59.77,0.052,0.898,"1","274",0.95,"29"
"499",2012,"Charl Schwartzel","72",2,0,70.281,56,22.15,61.41,295.8,4.73,62.65,1766.667,28.74,58.95,0.084,0.84,"50","296",0.925,"8"
"500",2013,"Charl Schwartzel","28",5,0,69.651,69,22.92,59.87,296.1,4.58,65.85,2620.75,29.01,55.02,0.301,0.967,"25","290",1.268,"15"
"501",2014,"Charl Schwartzel","11",5,0,69.671,64,21.43,59.45,297.8,4.52,63.53,2899.667,28.34,61.67,0.055,1.286,"99","149",1.341,"17"
"502",2015,"Charl Schwartzel","118",3,0,71.093,67,24.1,60.81,300.4,4.64,64.99,2264.583,29.57,54.66,-0.555,0.629,"38","289",0.073,"36"
"503",2016,"Charl Schwartzel","30",5,1,70.004,73,19.37,56.86,296.7,4.66,68.73,2598.833,29.34,59.64,-0.137,1.18,"99","152",1.043,"21"
"504",2017,"Charl Schwartzel","67",3,0,70.211,63,23.6,53.59,298.4,4.58,61.69,2684.583,28.45,60.5,0.22,0.583,"3","282",0.803,"29"
"505",2018,"Charl Schwartzel","180",3,0,71.349,65,12.9,55.19,299.5,4.73,61.11,2528,28.74,57.88,0.081,-0.276,"99","150",-0.195,"58"
"506",2005,"Charles Howell III","56",6,0,70.367,95,21.54,57.51,293.6,4.55,66.11,3821.583,29.44,59.02,0.283,0.705,"99","149",0.988,"180"
"507",2006,"Charles Howell III","146",3,0,70.946,96,20.44,56.39,295.4,4.63,65.89,4369.917,29.75,56.92,0.11,0.541,"99","164",0.478,"194"
"508",2007,"Charles Howell III","107",5,1,70.655,89,17.71,49.54,299.8,4.62,63.37,3532.75,29.67,55.38,0.338,0.03,"30","301",0.368,"47"
"509",2008,"Charles Howell III","84",4,0,70.82,101,19.79,56.78,293.6,4.6,66.78,4413.75,29.82,56.42,-0.104,0.648,"99","148",0.545,"153"
"510",2009,"Charles Howell III","101",3,0,70.459,99,19.62,58.87,292.7,4.61,67.09,4041.083,29.25,57.33,-0.03,0.631,NA,NA,0.601,"135"
"511",2010,"Charles Howell III","47",6,0,70.292,103,21.56,54.58,294.3,4.6,68.57,3917.667,28.96,64.46,0.452,0.329,NA,NA,0.784,"135"
"512",2011,"Charles Howell III","39",7,0,69.66,108,20.33,57.51,297.3,4.56,68.91,4276.417,29.31,63.92,0.38,0.86,NA,NA,1.239,"83"
"513",2012,"Charles Howell III","73",2,0,70.385,98,20.71,54.6,294.6,4.55,66.61,3590.167,29.54,56.2,0.054,0.625,"19","288",0.679,"180"
"514",2013,"Charles Howell III","25",5,0,70.272,87,17.77,53.11,294.8,4.66,66.73,3604.833,28.66,64.83,0.438,0.424,NA,NA,0.862,"164"
"515",2014,"Charles Howell III","14",6,0,70.134,106,23.42,52.77,304.1,4.57,67.66,4587.917,29.11,61.26,0.037,0.717,NA,NA,0.755,"140"
"516",2015,"Charles Howell III","126",3,0,70.872,105,19.55,52.43,302.7,4.6,68.57,5267.167,29.75,56.06,-0.216,0.599,NA,NA,0.383,"113"
"517",2016,"Charles Howell III","18",5,0,70.418,91,19.55,52.6,303.4,4.57,68.01,3524.083,29.08,60.88,0.133,0.54,NA,NA,0.673,"102"
"518",2017,"Charles Howell III","69",5,0,70.371,86,19.69,54.72,296.9,4.64,67.01,3385.75,29.11,62.63,0.172,0.32,NA,NA,0.492,"63"
"519",2018,"Charles Howell III","46",4,0,70.219,104,21.89,62.59,300.9,4.61,69.33,3711.667,29.5,60.87,0.219,0.582,NA,NA,0.801,"61"
"520",2005,"Charles Warren","50",4,0,71.231,89,17.92,64.16,299.2,4.64,69.03,4587.167,29.74,50.52,-0.146,0.279,NA,NA,0.133,"34"
"521",2006,"Charles Warren","39",2,0,70.675,93,16.26,64.09,300.1,4.63,67.96,4013.583,29.41,58.96,-0.311,0.884,NA,NA,0.545,"134"
"522",2007,"Charles Warren","10",3,0,70.793,101,20.72,66.81,302.8,4.6,68.37,4737.917,29.74,53.91,-0.324,0.638,NA,NA,0.314,"160"
"523",2008,"Charles Warren","118",2,0,72.106,79,16.24,65.43,301.1,4.7,66.88,4433.25,30.42,48.41,-0.947,0.031,NA,NA,-0.916,"155"
"524",2009,"Charles Warren","79",0,0,71.097,63,18.18,63.9,298.5,4.65,68.52,2555,29.67,57.28,-0.286,0.453,NA,NA,0.167,"300"
"525",2010,"Charles Warren","17",3,0,70.917,64,25,65.93,302.5,4.69,71.74,2608.667,30.28,54.58,-0.411,0.521,NA,NA,0.109,"59"
"526",2006,"Charley Hoffman","16",5,0,70.631,100,21.11,58.01,304.4,4.61,66.61,4856.5,28.94,55.86,0.123,0.566,NA,NA,0.571,"61"
"527",2007,"Charley Hoffman","117",2,1,71.229,97,22.73,57.08,299.9,4.62,64.03,4560,28.92,52.71,0.153,-0.187,NA,NA,-0.034,"102"
"528",2008,"Charley Hoffman","77",3,0,71.287,94,19.42,63.35,300.8,4.68,66.24,4285.917,29.49,57.42,-0.118,0.038,NA,NA,-0.079,"164"
"529",2009,"Charley Hoffman","19",4,0,70.438,97,19.29,57.59,300.8,4.63,66.78,4359.333,28.85,58.97,0.096,0.513,NA,NA,0.609,"87"
"530",2010,"Charley Hoffman","6",5,1,70.254,85,27.78,61.59,298.2,4.57,66.53,3844.167,28.73,60.6,0.104,0.889,NA,NA,0.995,"140"
"531",2011,"Charley Hoffman","42",2,0,71.097,93,23.7,60.34,299.8,4.65,66.79,3739.25,29.41,53.64,-0.256,0.782,"27","287",0.525,"63"
"532",2012,"Charley Hoffman","63",2,0,71.139,88,24.08,62.23,295.5,4.63,66.35,4362.75,29.58,51.41,-0.48,0.567,NA,NA,0.087,"112"
"533",2013,"Charley Hoffman","12",5,0,70.497,84,24.25,59.57,294,4.61,65.48,3803.417,29.05,53.83,0.128,0.45,NA,NA,0.578,"176"
"534",2014,"Charley Hoffman","35",5,0,70.464,93,20.8,58.69,299.2,4.7,67.08,3662.583,28.97,59.53,0.266,0.691,NA,NA,0.956,"83"
"535",2015,"Charley Hoffman","39",7,1,70.613,97,22.05,58.01,298.9,4.62,66.19,4386.833,28.83,58.74,0.065,0.269,"9","280",0.335,"70"
"536",2016,"Charley Hoffman","108",1,1,70.658,91,21.84,54.8,298.2,4.67,64.58,3687.417,29.17,57.75,-0.036,0.598,"29","295",0.562,"58"
"537",2017,"Charley Hoffman","19",7,0,70.351,112,21.22,57.72,298.3,4.58,66.13,4842.75,29,56.78,-0.059,0.839,"22","290",0.78,"52"
"538",2018,"Charley Hoffman","111",0,0,70.521,87,25,58.34,299.5,4.65,66.53,3662.75,29.19,56.22,0.026,0.398,"12","282",0.425,"28"
"539",2012,"Charlie Beljan","88",3,1,71.401,61,19.53,58.19,311.6,4.61,66.46,2416.333,29.66,53.13,-0.421,-0.064,NA,NA,-0.485,"92"
"540",2013,"Charlie Beljan","151",1,0,71.839,62,18,59.86,295.4,4.73,64.61,3061.167,29.98,52.66,-0.205,-0.32,NA,NA,-0.524,"69"
"541",2014,"Charlie Beljan","94",1,0,71.28,76,20.8,59.02,303.8,4.68,65.2,3589.5,29.64,52.99,-0.231,-0.058,NA,NA,-0.289,"179"
"542",2015,"Charlie Beljan","136",1,0,72.01,76,19.92,62.61,309.8,4.61,65.51,3102.417,29.97,48.77,-0.799,-0.134,NA,NA,-0.933,"258"
"543",2005,"Charlie Wi","130",1,0,71.656,67,19.4,62.07,285.1,4.68,60,3403.333,28.06,60.47,0.359,-0.539,NA,NA,-0.181,"111"
"544",2007,"Charlie Wi","16",3,0,70.873,90,21.43,66.59,286,4.61,66.35,4300.833,28.92,59.1,0.416,0.005,NA,NA,0.421,"173"
"545",2008,"Charlie Wi","18",4,0,70.229,97,17.65,67.33,287.4,4.69,66.44,3950.083,29.23,63.14,0.014,0.456,NA,NA,0.47,"173"
"546",2009,"Charlie Wi","26",3,0,70.657,92,18.18,66.9,284.9,4.67,64.73,3928.75,28.54,58.73,0.488,-0.16,NA,NA,0.329,"96"
"547",2010,"Charlie Wi","52",4,0,70.284,95,15.67,64.19,281.2,4.7,66.55,3818.333,28.58,65.56,0.574,0.12,NA,NA,0.679,"135"
"548",2011,"Charlie Wi","98",1,0,70.757,83,17.5,61.35,285.8,4.67,63.65,4143.583,28.41,58.93,0.808,-0.502,NA,NA,0.305,"159"
"549",2012,"Charlie Wi","106",4,0,70.697,86,20.53,61.65,285.6,4.72,59.69,3769.083,28.24,59.13,0.279,0.004,NA,NA,0.283,"111"
"550",2013,"Charlie Wi","75",1,0,71.174,75,21.5,63.02,282.1,4.75,60.56,3502.917,28.34,59.92,0.176,-0.427,NA,NA,-0.251,"119"
"551",2014,"Charlie Wi","151",0,0,71.067,72,16.83,57.74,281,4.71,60.87,3175.75,28.57,62.27,0.112,-0.221,NA,NA,-0.108,"275"
"552",2014,"Chesson Hadley","148",4,1,71.212,84,18.86,57.01,290.6,4.68,63.03,3996.667,29,54.2,0.041,-0.18,NA,NA,-0.14,"56"
"553",2015,"Chesson Hadley","108",3,0,71.798,101,19.53,56.87,290.7,4.7,63.59,5210.5,28.68,57.7,0.168,-0.525,NA,NA,-0.357,"111"
"554",2016,"Chesson Hadley","143",0,0,71.541,81,22.98,56.58,296.5,4.74,65.26,3529.083,29.25,54.05,-0.165,-0.047,NA,NA,-0.213,"263"
"555",2018,"Chesson Hadley","26",7,0,70.311,103,22.64,60.07,300,4.61,67.68,4444.667,28.99,56.6,0.208,0.65,NA,NA,0.859,"74"
"556",2008,"Chez Reavie","120",2,1,70.957,102,17.81,72.56,281.8,4.78,66.61,4307.333,29.53,58.91,-0.194,0.138,NA,NA,-0.056,"276"
"557",2009,"Chez Reavie","136",1,0,71.361,81,16.37,70.19,279.6,4.71,65.95,3261.5,29.34,59.53,-0.195,-0.047,"99","151",-0.241,"233"
"558",2011,"Chez Reavie","33",5,0,70.744,92,20.15,67.32,293.5,4.7,68.6,4479.083,29.58,55,-0.077,0.497,NA,NA,0.419,"142"
"559",2012,"Chez Reavie","149",0,0,71.334,83,16.47,68.57,282.5,4.75,66.13,3300.833,29.86,56.52,-0.206,0.16,"99","153",-0.045,"75"
"560",2013,"Chez Reavie","62",0,0,70.6,72,19.05,70.29,282.8,4.74,66.74,3260,29.03,59.86,-0.009,0.383,NA,NA,0.375,"231"
"561",2015,"Chez Reavie","100",0,0,71.146,56,21.88,71.89,286.3,4.69,69.64,2100.167,29.63,55.88,-0.262,0.342,NA,NA,0.08,"104"
"562",2016,"Chez Reavie","22",2,0,70.661,90,22.49,68.22,287.3,4.67,68.09,3521.417,29.05,62.75,-0.262,0.761,NA,NA,0.5,"101"
"563",2017,"Chez Reavie","23",4,0,70.244,98,20.63,70.53,284.8,4.7,66.91,4193.583,28.64,63.28,0.391,0.371,NA,NA,0.762,"132"
"564",2018,"Chez Reavie","78",3,0,70.432,93,22.75,72.24,286.5,4.73,68.67,2984.583,29.12,62.27,0.192,0.483,"53","298",0.674,"47"
"565",2005,"Chris Anderson","159",1,0,72.187,66,22.06,63.7,278.1,4.72,61.02,3332.667,28.79,55.17,-0.106,-0.724,NA,NA,-0.831,"119"
"566",2006,"Chris Couch","139",1,1,71.73,75,19.69,60.98,299.7,4.65,66.15,4376.333,29.83,49.02,-0.386,-0.173,NA,NA,-0.654,"178"
"567",2007,"Chris Couch","170",0,0,71.783,76,17.18,56.59,299.8,4.75,64.11,4524.083,29.59,53.36,-0.135,-0.481,NA,NA,-0.616,"177"
"568",2010,"Chris Couch","18",2,0,70.948,66,22.35,65.87,292.4,4.67,66.5,3531.833,28.77,56.28,0.302,0.002,NA,NA,0.307,"205"
"569",2011,"Chris Couch","12",3,0,70.595,73,21.99,64.96,296.8,4.56,64.99,3698.75,28.53,60.87,0.397,0.052,NA,NA,0.45,"118"
"570",2012,"Chris Couch","81",0,0,70.977,61,21.97,65.49,293.8,4.63,63.65,3061.583,28.81,58.29,0.083,0.041,NA,NA,0.125,"269"
"571",2005,"Chris DiMarco","60",6,0,70.405,83,19.9,61.55,281,4.67,64.15,3097.167,28.57,61.16,0.225,0.591,"2","276",0.815,"15"
"572",2006,"Chris DiMarco","101",2,0,70.787,83,22.17,64.34,279.3,4.68,66.45,2949.417,29.22,59.02,0.033,0.072,"99","150",0.057,"10"
"573",2007,"Chris DiMarco","167",1,0,70.913,79,15.21,59.05,282.4,4.74,60.53,3528.083,29.04,53.93,-0.068,0.183,"99","153",0.115,"27"
"574",2008,"Chris DiMarco","178",1,0,71.378,87,17.47,63.12,277.4,4.7,63.35,3836.25,29.28,56.45,0.133,-0.316,NA,NA,-0.183,"133"
"575",2009,"Chris DiMarco","123",0,0,70.688,97,18.62,66.8,279.5,4.7,64.58,3738.917,28.67,63.07,-0.116,0.254,NA,NA,0.138,"231"
"576",2010,"Chris DiMarco","112",1,0,70.983,88,23.53,70.13,279,4.74,67.39,3496.667,29.15,61.87,-0.058,0.115,NA,NA,0.052,"118"
"577",2011,"Chris DiMarco","123",0,0,70.909,93,17.74,66.67,277.9,4.7,65.11,3737.583,29.1,60.47,-0.145,0.123,NA,NA,-0.021,"32"
"578",2012,"Chris DiMarco","123",1,0,71.488,83,19.39,69.24,273,4.69,60.55,3918.417,28.59,56.86,-0.113,-0.364,NA,NA,-0.477,"272"
"579",2011,"Chris Kirk","25",4,1,70.414,87,23.14,56.47,295.7,4.67,66.67,3532.333,29.05,57.66,-0.202,0.634,NA,NA,0.432,"137"
"580",2012,"Chris Kirk","38",4,0,70.891,93,19.52,59.7,291.8,4.73,66.6,4347.25,29.15,58.32,-0.195,0.439,NA,NA,0.244,"113"
"581",2013,"Chris Kirk","16",3,0,70.206,89,26.67,59.65,289,4.69,65.92,3673,28.26,65.38,0.456,0.506,NA,NA,0.962,"74"
"582",2014,"Chris Kirk","27",5,2,70.15,105,19.93,62.78,291,4.61,63.46,4418.25,28.44,63.3,0.374,0.489,"20","290",0.862,"52"
"583",2015,"Chris Kirk","59",3,1,70.959,76,21.29,61.97,285.8,4.64,64.54,2593.917,28.6,60.3,0.065,0.35,"33","288",0.414,"23"
"584",2016,"Chris Kirk","110",3,0,70.92,90,18.02,62.02,285.9,4.69,64.05,3548.75,28.67,62.73,-0.006,0.66,"99","153",0.653,"53"
"585",2017,"Chris Kirk","79",3,0,71.255,89,20,63.93,287,4.75,66.73,3515,29.18,54.73,-0.074,-0.155,NA,NA,-0.228,"89"
"586",2018,"Chris Kirk","32",4,0,70.411,108,18.8,64.64,289.8,4.61,68.24,4000.167,28.9,63.53,0.073,0.659,NA,NA,0.732,"153"
"587",2005,"Chris Riley","185",0,0,72.167,67,13.3,67.11,278,4.8,59.38,2435.083,29.19,58.33,-0.383,-0.785,"49","304",-1.168,"58"
"588",2006,"Chris Riley","85",1,0,71.474,86,15.57,70.55,284.5,4.65,62.47,3505.583,28.61,60.65,0.122,-0.418,NA,NA,-0.384,"16"
"589",2007,"Chris Riley","65",0,0,71.009,59,22.44,71.39,280.6,4.66,62.12,2360.417,28.29,65.33,0.281,0.024,NA,NA,0.305,"13"
"590",2008,"Chris Riley","129",1,0,71.237,51,17.52,66.5,279.1,4.66,61.89,2080.833,28.47,64.75,0.213,-0.667,NA,NA,-0.454,"265"
"591",2009,"Chris Riley","16",1,0,70.535,77,28.43,71.49,278.5,4.64,64.79,2989,28.35,64,0.346,0.14,NA,NA,0.486,"19"
"592",2010,"Chris Riley","66",3,0,70.345,73,20.63,68.7,278.3,4.71,67.33,2536.25,29,64.47,0.185,0.351,NA,NA,0.538,"19"
"593",2011,"Chris Riley","141",1,0,71.143,76,14.29,70.19,279.3,4.72,64.81,2960.667,29.31,61.62,-0.292,0.201,NA,NA,-0.091,"224"
